opp_id,institution,country,programme,supervisor,supervisor_email,deadline,start_date,fit_tier,funding,docs_built,submission_status,portal_url,inquiry_email_status,referee_letter_status,notes
aston-p196342,Aston University,UK,PhD Digital Twin / Crowd-Shipping,Dr. Ammar Al-Bazi,a.al-bazi@aston.ac.uk,2026-05-18,2026-09-01,A,Funded,12,SUBMITTED,https://www.aston.ac.uk/study/postgraduate/research-degrees,n/a,Submitted (Ammar + Viktor),Submitted 2026-05-17
univie-5509,University of Vienna,Austria,PhD Responsible AI (Pawelczyk),Prof. Martin Pawelczyk,martin.pawelczyk@univie.ac.at,2026-05-20,2026-09-01,B,Funded,2,SKIPPED,https://jobs.univie.ac.at/job/PhD-Positions-in-Responsible-AI/1385351333/,n/a,n/a,Skipped — timing + fact-check
ukp-intertext,TU Darmstadt,Germany,Postdoc InterText ERC,Prof. Iryna Gurevych,iryna.gurevych@tu-darmstadt.de,2026-05-31,2026-09-01,C,Funded,2,DRAFTED — awaiting Iryna,https://careers.ukp.informatik.tu-darmstadt.de/ukprecruitment,PENDING,Pending,⚠️ postdoc needs PhD
copenhagen-mechinterp,University of Copenhagen,Denmark,PhD Mech Interp for LLM Security,Prof. Isabelle Augenstein,augenstein@di.ku.dk,2026-05-31,2026-09-01,A,Funded 3yr,3,DRAFTED — ready,https://employment.ku.dk/phd/?show=160571,n/a,Pending,SSL-blocked CLI; use browser
tel-aviv-cs,Tel Aviv University,Israel,PhD CS & AI (Blavatnik School),TBD (Berant/Wolf target),joberant@cs.tau.ac.il,2026-05-31,2026-10-01,B,Fellowship + TA,1 (CV only),DRAFTED — needs supervisor consent FIRST,https://my.tau.ac.il/TAU_Student,PENDING urgent,Pending,⚠️ MUST cold-email supervisor THIS WEEK
aarhus-tta,Aarhus University,Denmark,PhD TTA & Agentic AI,Behzad Bozorgtabar,behzad@ece.au.dk,2026-06-01,2026-08-01,B,Funded,3,DRAFTED — fix [TODO] paper,https://phd.tech.au.dk/for-applicants/apply-here/saeropslag/phd-position-in-test-time-adaptation-and-agentic-ai,n/a,Pending,Replace hallucinated paper
chalmers-agentic-monitoring,Chalmers,Sweden,PhD Agentic AI Monitoring,Jennifer Horkoff,jenho@chalmers.se,2026-06-12,2026-09-01,B,~32k SEK/mo,3,DRAFTED — ready,https://www.chalmers.se/en/about-chalmers/work-with-us/vacancies/,n/a,Pending,Need specific Varbi URL
polimi-pierri,Politecnico di Milano,Italy,PhD Responsible AI / CSS,Francesco Pierri,francesco.pierri@polimi.it,2026-06-15,2026-11-01,C,€19k/yr,3,DRAFTED — awaiting call open,https://www.polimi.it/en/phd/prospective-phd-candidates/admission/calls-and-open-positions/,PENDING,Pending,Cycle 41 not open yet
leiden-formal-nlp,Leiden University,Netherlands,PhD Formal Methods in NLP,Wijnholds + Verberne,g.j.wijnholds@liacs.leidenuniv.nl,2026-06-26,2026-09-01,A,€3059-3881/mo,3,DRAFTED — ready,https://careers.universiteitleiden.nl/job/PhD-Candidate,-Formal-methods-in-Natural-Language-Processing,n/a,Pending,Verify research statement cites supervisor work
cambridge-llm-safety,University of Cambridge,UK,PhD LLM Safety (NM49585),TBD (LLM Safety group),(TBD),2026-07-30,2026-10-01,A,Funded,2,DRAFTED — ready,https://forms.gle/Cm3MWPsWta73J2Gp7,n/a,Pending,Two-stage app + £20 fee
aalborg-llm-security,Aalborg University Copenhagen,Denmark,PhD NLP/LLM Security (4 slots),Johannes Bjerva,jbjerva@cs.aau.dk,2026-08-31,2026-09-01,A,Funded 3yr,3,DRAFTED — ready,https://www.stillinger.aau.dk/vis-stilling/?vacancy=1410023,n/a,Pending,4 slots!
saarland-hahn,Saarland University,Germany,PhD LLM Theory + Interp,Michael Hahn,mhahn@lst.uni-saarland.de,rolling,flexible,A,DFG Emmy Noether,2,DRAFTED — direct email,https://lacoco-lab.github.io/joining/,PENDING,Pending,Same fit as Cph/Cambridge
bar-ilan-goldberg,Bar-Ilan University,Israel,PhD NLP (Goldberg lab),Yoav Goldberg,yoav.goldberg@biu.ac.il,rolling,flexible,B,Fellowship,2,DRAFTED — direct email,https://cs.biu.ac.il/admissions/phd,PENDING,Pending,Foundational NLP figure
tubingen-andriushchenko,ELLIS Tübingen / MPI-IS,Germany,Prospective PhD AI Safety,Maksym Andriushchenko,maksym.andriushchenko@uni-tuebingen.de,rolling,2026-10-01,C,IMPRS-IS / ELLIS,3,DRAFTED + cold email,https://imprs.is.mpg.de/,PENDING,Pending,Email-first
mcml-munich,MCML LMU + TUM,Germany,PhD ML Matchmaking,TBD,n/a,TBD,TBD,C,Funded,0,SKELETON,https://www.portal.graduatecenter.lmu.de/ocgc/mcml,PENDING,Pending,Cycle status unclear
york-saints,University of York,UK,UKRI CDT Safe AI,TBD (CDT),(TBD),2026-12-15,2027-09-01,B,£20780/yr,0,FUTURE CYCLE,https://www.york.ac.uk/study/postgraduate-research/centres-doctoral-training/safe-ai-training/safe-ai-phd/,n/a,n/a,2027-28 entry
us-fall-2027-cluster,CMU/Stanford/Princeton/UMass/NYU,USA,PhD NLP / ML / AI Safety,various,(TBD),2026-12-01 to 2027-01-15,2027-08-01,A-B,Funded,0,FUTURE CYCLE,(per-school portals),Pending,Plan Aug-Sep 2026
